timestamp_utc,token_id,side,price,size,t_submit_ms,t_ack_ms,maker_delay_ms,success,order_id,status,error_msg,batch_num,order_num
2026-02-01T04:43:21.133016+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921001143.6357,1769921001170.0903,26.45458984375,True,0xa36e624d7d9ba8c4a6d36cc0a8a060df588fd12409b0f7ac4a7d1026d5d9d87e,live,,13,4
2026-02-01T04:43:21.671036+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921001681.354,1769921001708.912,27.55810546875,True,0x15e76796cd70d00158ac377af943153b6f0dcb6627d3d7d396c244aa796f883d,live,,13,5
2026-02-01T04:43:23.394071+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921003404.278,1769921003435.0742,30.796142578125,True,0xc1954afd6f50f567da8eba4f55c0a2e071b8503ba09a1add7c45da208fae94da,live,,14,1
2026-02-01T04:43:23.935902+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921003946.177,1769921003973.761,27.583984375,True,0xb7605446ae7417b728c3c6c61435c017fd6575f52790dae894961f1c252f91bf,live,,14,2
2026-02-01T04:43:24.474591+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921004484.6543,1769921004556.121,71.466796875,True,0xf2479b8bc1e8c1c15de03ff9454310516eb11745a1dbbc1c3ecf4ce79842b004,live,,14,3
2026-02-01T04:43:25.056960+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921005067.2383,1769921005094.568,27.329833984375,True,0x41450bfc5acb2547eead53d65c956e4fe1ce34c384e3be198e3bb6106eed1248,live,,14,4
2026-02-01T04:43:25.595408+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921005605.9946,1769921005633.7773,27.78271484375,True,0x2609bc16e43710221c4d786d4d6f156ec99696c9fea28707c85cb6fb41774348,live,,14,5
2026-02-01T04:43:27.272559+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921007282.8047,1769921007310.2366,27.431884765625,True,0x21e28119fcfcf8021a4c7476144c4cf7b0481b0d4567f6928c3ed7c72b0fdd04,live,,15,1
2026-02-01T04:43:27.811135+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921007821.4983,1769921007943.6628,122.16455078125,True,0x13e48d821a547914ffff29245e517f1be9184159a6e9252e733a002c4baa08e9,live,,15,2
2026-02-01T04:43:28.444494+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921008454.942,1769921008483.6975,28.755615234375,True,0x6fb30d23659b553ed600e314c85c1ba093797448440ae2b82491d402ea5f8e14,live,,15,3
2026-02-01T04:43:28.984632+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921008994.8833,1769921009024.5498,29.66650390625,True,0xb40a63bb4130b73784475a7fe0b05a93258dbbf3646929793748590a21173d26,live,,15,4
2026-02-01T04:43:29.525376+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921009535.559,1769921009561.1995,25.640380859375,True,0xccc1b948448669155870dd408dcb26f9ae79191cdf5ccfec53e580d1bbafb16e,live,,15,5
2026-02-01T04:43:31.197219+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921011207.7087,1769921011235.6267,27.91796875,True,0x5d415a0de53c32a2066adb6b5177cde9a3681a17d60c684aba0556d72e877feb,live,,16,1
2026-02-01T04:43:31.736464+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921011746.8174,1769921011774.6938,27.87646484375,True,0xd9696ef15dd3fd2153e181250861cd2a445d5f86f72b5b2ab64588eac9ba6d8c,live,,16,2
2026-02-01T04:43:32.275510+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921012285.6907,1769921012312.4912,26.800537109375,True,0xb307eafc0a918fbf9b06a10319e4efc31e6aed30f3cabc73c90d745d246495f2,live,,16,3
2026-02-01T04:43:32.813290+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921012823.4375,1769921012852.8555,29.41796875,True,0x51b294125b7f84f4fc1d170f7a91d9c386f3cffa43b767420f51377365dd7ae1,live,,16,4
2026-02-01T04:43:33.353539+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921013363.7893,1769921013392.677,28.8876953125,True,0x2cc49efe308fce90a08f8ffc643e0cf7f656a8aebd5eee409bc9522499db6bc4,live,,16,5
2026-02-01T04:43:35.031591+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921015041.7063,1769921015073.021,31.314697265625,True,0x4ca5d4231a2084bce42b2561901201476fd2649141ab02cda0e2a6d74d52df34,live,,17,1
2026-02-01T04:43:35.573538+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921015583.8293,1769921015611.1187,27.289306640625,True,0x36aaff7ae0859bb6d2e438c806e52c2bc0644d6e466ba35513339bf98d4053fa,live,,17,2
2026-02-01T04:43:36.111941+00:00,57275516339293668164093734623812749717873848774784002172969855083853484257625,BUY,0.01,5,1769921016122.6033,1769921016151.456,28.852783203125,True,0x754708c48a021e9ada6fa19886c24052a5588a86e2ec592b2dbd7b58879c20cb,live,,17,3
