timestamp_utc,ticker,side,price,size,t_submit_ms,t_ack_ms,maker_delay_ms,success,order_id,status,error_msg,batch_num,order_num
2026-02-01T04:58:11.755750+00:00,KXBTC15M-26FEB010000-00,yes,1,5,1769921891755.777,1769921891793.1826,37.405517578125,True,7fa94c05-5153-439a-82a1-b4a48c2570e3,resting,,3,3
2026-02-01T04:58:12.293998+00:00,KXBTC15M-26FEB010000-00,yes,1,5,1769921892294.0332,1769921892325.2197,31.1865234375,True,d8c40495-e17a-42f6-af33-307c854fbcbb,resting,,3,4
2026-02-01T04:58:12.826041+00:00,KXBTC15M-26FEB010000-00,yes,1,5,1769921892826.0671,1769921892857.5186,31.451416015625,True,18291ff9-d544-44e5-91cd-851557ce06ff,resting,,3,5
2026-02-01T04:58:14.530264+00:00,KXBTC15M-26FEB010000-00,yes,1,5,1769921894530.288,1769921894563.6545,33.366455078125,True,f40da64d-c330-4945-8a84-a01ced33a035,resting,,4,1
2026-02-01T04:58:15.064528+00:00,KXBTC15M-26FEB010000-00,yes,1,5,1769921895064.5583,1769921895096.2075,31.649169921875,True,796d026a-9ad5-4d6d-a26b-83622e8aff05,resting,,4,2
2026-02-01T04:58:15.597104+00:00,KXBTC15M-26FEB010000-00,yes,1,5,1769921895597.1316,1769921895627.7742,30.642578125,True,a5249d9a-0faf-4951-b952-0a0ab4b63b76,resting,,4,3
2026-02-01T04:58:16.128615+00:00,KXBTC15M-26FEB010000-00,yes,1,5,1769921896128.6433,1769921896160.2102,31.56689453125,True,0ce46b73-f003-4467-a971-c9672780b6af,resting,,4,4
2026-02-01T04:58:16.661095+00:00,KXBTC15M-26FEB010000-00,yes,1,5,1769921896661.1206,1769921896693.4048,32.2841796875,True,e714a0fe-7cdb-4961-a860-d456c9ca2563,resting,,4,5
2026-02-01T04:58:18.355032+00:00,KXBTC15M-26FEB010000-00,yes,1,5,1769921898355.0574,1769921898385.4104,30.35302734375,True,519c7c1c-3c52-402a-bfeb-d6a6bc59a016,resting,,5,1
2026-02-01T04:58:18.886224+00:00,KXBTC15M-26FEB010000-00,yes,1,5,1769921898886.2542,1769921898918.9795,32.725341796875,True,5baedfe3-ac39-4185-a6f4-d419fa5fe78b,resting,,5,2
