timestamp_utc,ticker,side,price,size,t_submit_ms,t_fill_ms,taker_delay_ms,success,order_id,fill_count,status,error_msg,test_num
2026-02-01T04:37:31.842910+00:00,KXBTCD-26FEB0117-T82749.99,yes,7,1,1769920652558.792,1769920653468.4526,909.66064453125,True,b11d97d0-98e8-4566-a99b-ea3b4639c95b,1,executed,,1
2026-02-01T04:40:12.770783+00:00,KXBTC15M-26JAN312345-45,yes,80,1,1769920813352.7007,1769920813955.0708,602.3701171875,True,18557414-3560-42b0-827d-d96bcecd375c,1,executed,,1
2026-02-01T04:40:14.956992+00:00,KXBTC15M-26JAN312345-45,no,31,1,1769920815896.7053,1769920816508.2903,611.5849609375,True,6d9f79bc-ad3b-4688-9579-942892944245,1,executed,,2
2026-02-01T04:43:32.049469+00:00,KXEOWEEK-26JAN31,yes,99,1,1769921012972.0361,1769921014559.5466,1587.510498046875,True,04941993-4c95-4e1d-b76a-c5d3672b774d,1,executed,,1
2026-02-01T04:43:35.560787+00:00,KXEOWEEK-26JAN31,no,2,1,1769921016152.1206,1769921016769.0212,616.900634765625,True,4b05e5dc-3745-41e6-9bfe-dc1b2f165e40,1,executed,,2
2026-02-01T04:44:00.358997+00:00,KXEOWEEK-26JAN31,yes,99,1,1769921041039.3848,1769921041601.1812,561.79638671875,True,3cf6df35-2abc-4580-bc90-52dbf5fee236,1,executed,,1
2026-02-01T04:44:02.601894+00:00,KXEOWEEK-26JAN31,yes,99,1,1769921043170.1992,1769921044041.749,871.5498046875,True,24c33078-7712-4374-a8cc-b67f804e7435,1,executed,,2
2026-02-01T04:45:09.104070+00:00,KXBTCD-26FEB0117-T82749.99,yes,6,1,1769921110797.0613,1769921111385.0366,587.975341796875,True,aaca4084-8fcc-4bf0-882e-1e2587fed17f,1,executed,,1
2026-02-01T04:45:12.386826+00:00,KXBTCD-26FEB0117-T82749.99,no,97,1,1769921112964.3252,1769921113524.2017,559.87646484375,True,70eb4adb-0c16-4b2a-b214-a56150bd7f9b,1,executed,,2
2026-02-01T04:45:14.526610+00:00,KXBTCD-26FEB0117-T82749.99,yes,6,1,1769921116114.733,1769921116692.0962,577.36328125,True,06270e7b-0ad4-49af-8a22-7922b38cd018,1,executed,,3
2026-02-01T04:45:17.693812+00:00,KXBTCD-26FEB0117-T82749.99,no,97,1,1769921118146.2207,1769921118949.217,802.996337890625,True,bd2a1581-3fa1-4877-9a1b-42da6dd8e34c,1,executed,,4
2026-02-01T04:48:37.868841+00:00,KXBTC15M-26FEB010000-00,yes,68,1,1769921317905.0415,1769921317956.7856,51.744140625,True,50d3b517-b7ee-458b-a04d-0ba834d90d8c,1,executed,,1
2026-02-01T04:48:38.958130+00:00,KXBTC15M-26FEB010000-00,no,36,1,1769921318994.0996,1769921319027.6765,33.576904296875,True,44b87aad-5361-4d7f-a193-bdbeb2075656,1,executed,,2
2026-02-01T04:48:40.028978+00:00,KXBTC15M-26FEB010000-00,yes,66,1,1769921320061.1418,1769921320117.6301,56.48828125,True,e7595c93-531e-49fb-ae28-603f8b5ef46c,1,executed,,3
2026-02-01T04:48:41.118938+00:00,KXBTC15M-26FEB010000-00,no,35,1,1769921321150.8955,1769921321186.8108,35.915283203125,True,aecc3d16-ad69-45da-826a-27acd16d23af,1,executed,,4
2026-02-01T04:48:42.188125+00:00,KXBTC15M-26FEB010000-00,yes,66,1,1769921322222.728,1769921322259.1855,36.45751953125,True,7bf71815-ff42-4c27-8ff0-ee703bab98e9,1,executed,,5
2026-02-01T04:48:43.260562+00:00,KXBTC15M-26FEB010000-00,no,36,1,1769921323293.553,1769921323326.9873,33.434326171875,True,14b06ad8-e586-442d-86a6-763c82819a4b,1,executed,,6
2026-02-01T04:48:44.328310+00:00,KXBTC15M-26FEB010000-00,yes,64,1,1769921324361.1567,1769921324417.0786,55.921875,True,4c777363-0a79-46d5-971f-abdfd6f85e45,1,executed,,7
2026-02-01T04:48:45.418379+00:00,KXBTC15M-26FEB010000-00,no,39,1,1769921325457.9226,1769921325490.449,32.5263671875,True,3473e4c3-5d80-4c82-b605-8d482aa3b606,1,executed,,8
2026-02-01T04:48:46.491757+00:00,KXBTC15M-26FEB010000-00,yes,64,1,1769921326527.1313,1769921326557.864,30.732666015625,True,a7ba5273-a273-4bde-a8ac-6e613403d7b6,1,executed,,9
2026-02-01T04:48:47.559176+00:00,KXBTC15M-26FEB010000-00,no,38,1,1769921327592.2886,1769921327625.5674,33.27880859375,True,ade4202f-c50a-42c5-8f05-f47fdd8808d8,1,executed,,10
2026-02-01T04:48:48.626878+00:00,KXBTC15M-26FEB010000-00,yes,64,1,1769921328660.6907,1769921328694.402,33.71142578125,True,66ec9f8a-cace-453c-ad4c-0cc338d4d4ba,1,executed,,11
2026-02-01T04:48:49.695721+00:00,KXBTC15M-26FEB010000-00,no,39,1,1769921329729.6052,1769921329760.5493,30.944091796875,True,20d93374-ea92-4668-9557-9894a124a5b5,1,executed,,12
2026-02-01T04:48:50.761877+00:00,KXBTC15M-26FEB010000-00,yes,64,1,1769921330795.7334,1769921330828.2546,32.521240234375,True,20ab1dc7-ea19-4030-a97d-f925c12da182,1,executed,,13
2026-02-01T04:48:51.829853+00:00,KXBTC15M-26FEB010000-00,no,46,1,1769921331862.1904,1769921331894.6912,32.500732421875,True,b5451dd9-e12a-4aa9-85d9-9e1dbeea4e74,1,executed,,14
2026-02-01T04:48:52.896011+00:00,KXBTC15M-26FEB010000-00,yes,58,1,1769921332927.3433,1769921332986.918,59.57470703125,True,ead740d0-a9ff-4044-805d-72b6f542b19a,1,executed,,15
2026-02-01T04:48:53.988246+00:00,KXBTC15M-26FEB010000-00,no,46,1,1769921334021.6975,1769921334078.468,56.7705078125,True,574a9a6b-f86f-44b6-ae3f-c5850e0ce3bf,1,executed,,16
2026-02-01T04:48:55.079781+00:00,KXBTC15M-26FEB010000-00,yes,49,1,1769921335113.5627,1769921335167.278,53.71533203125,True,c1cce2f8-ed77-4c8f-9321-d11478057810,1,executed,,17
2026-02-01T04:48:56.168729+00:00,KXBTC15M-26FEB010000-00,no,57,1,1769921336202.9238,1769921336243.8745,40.95068359375,True,99a18afd-6878-4cc3-8454-69292e571c9b,1,executed,,18
2026-02-01T04:48:57.245201+00:00,KXBTC15M-26FEB010000-00,yes,42,1,1769921337275.9412,1769921337308.2224,32.28125,True,74b7e511-0933-4da4-b056-7bf554f86829,1,executed,,19
2026-02-01T04:48:58.309620+00:00,KXBTC15M-26FEB010000-00,no,60,1,1769921338341.9827,1769921338373.9543,31.9716796875,True,4c125f21-54fc-45a6-a88c-b5a2e909a4bf,1,executed,,20
2026-02-01T04:48:59.375271+00:00,KXBTC15M-26FEB010000-00,yes,44,1,1769921339409.4492,1769921339441.3684,31.919189453125,True,d2eeb2d8-ca92-428f-a2f6-6812a30da0cb,1,executed,,21
2026-02-01T04:49:00.442729+00:00,KXBTC15M-26FEB010000-00,no,56,1,1769921340475.3064,1769921340505.9155,30.609130859375,True,11f3b655-3fbd-4ed1-8ce1-e3edf58f534b,1,executed,,22
2026-02-01T04:49:01.507250+00:00,KXBTC15M-26FEB010000-00,yes,48,1,1769921341540.7322,1769921341576.3018,35.569580078125,True,701f155e-bc20-47b3-9f81-db7cf715d85c,1,executed,,23
2026-02-01T04:49:02.577719+00:00,KXBTC15M-26FEB010000-00,no,55,1,1769921342621.3425,1769921342652.627,31.284423828125,True,05e4b20b-c33a-433b-81f2-804b5d3c0a5d,1,executed,,24
2026-02-01T04:49:03.653945+00:00,KXBTC15M-26FEB010000-00,yes,48,1,1769921343683.9749,1769921343740.3276,56.352783203125,True,57778e88-f2c8-43a2-9311-05a564972928,1,executed,,25
2026-02-01T04:55:14.089566+00:00,KXBTC15M-26FEB010000-00,yes,71,1,1769921714123.9448,1769921714156.82,32.875244140625,True,b9a0ef94-b639-4f2e-8629-5f8189835d95,1,executed,,1
2026-02-01T04:55:15.158175+00:00,KXBTC15M-26FEB010000-00,no,31,1,1769921715192.0435,1769921715227.3674,35.323974609375,True,fbd5f0c8-04c2-49df-980b-6160b782b412,1,executed,,2
2026-02-01T04:55:16.228675+00:00,KXBTC15M-26FEB010000-00,yes,71,1,1769921716261.669,1769921716292.0342,30.365234375,True,307f9635-5d95-45f8-af47-314b3d2b3a96,1,executed,,3
2026-02-01T04:55:17.293351+00:00,KXBTC15M-26FEB010000-00,no,31,1,1769921717326.8667,1769921717384.068,57.201416015625,True,f2187237-aa84-43b3-82ec-4a3213f4eb3c,1,executed,,4
2026-02-01T04:55:18.385388+00:00,KXBTC15M-26FEB010000-00,yes,69,1,1769921718423.4717,1769921718459.7808,36.30908203125,True,afda4ae7-9b9e-4cba-9ceb-20e458835884,1,executed,,5
